AuditId,PID,Manufacturer,Model,SerialNumber,Description
15021026,4421544,DELL,ST2000NX0463,W460PPYD,2.5 Hard Drive
15021026,4421545,DELL,ST2000NX0463,W460PJ0C,2.5 Hard Drive
15021026,4421546,DELL,ST2000NX0463,W460PLN1,2.5 Hard Drive
15021026,4421547,DELL,ST2000NX0463,W460PQ95,2.5 Hard Drive
15021026,4421548,DELL,ST2000NX0463,W460P8W4,2.5 Hard Drive
15021026,4421549,DELL,ST2000NX0463,W460PGK2,2.5 Hard Drive
15021026,4421550,DELL,ST2000NX0463,W460P6E8,2.5 Hard Drive
15021026,4421551,DELL,ST2000NX0463,W460PM7J,2.5 Hard Drive
15021026,4421552,DELL,ST2000NX0463,W460PM1R,2.5 Hard Drive
15021026,4421553,DELL,ST2000NX0463,W460PJ9E,2.5 Hard Drive
15021026,4421554,DELL,ST2000NX0463,W460PLPZ,2.5 Hard Drive
15021026,4421555,DELL,ST2000NX0463,W460M81N,2.5 Hard Drive
15021026,4421556,DELL,ST2000NX0463,W460PM10,2.5 Hard Drive
15021026,4421557,DELL,ST2000NX0463,W460PLSR,2.5 Hard Drive
15021026,4421558,DELL,ST2000NX0463,W460PQ8X,2.5 Hard Drive
15021026,4421559,DELL,ST2000NX0463,W460P8D3,2.5 Hard Drive
15021026,4421560,DELL,ST2000NX0463,W460P7JE,2.5 Hard Drive
15021026,4421561,DELL,ST2000NX0463,W460PJ0A,2.5 Hard Drive
15021026,4421562,DELL,ST2000NX0463,W460PQA8,2.5 Hard Drive
15021026,4421563,DELL,ST2000NX0463,W460P4Y5,2.5 Hard Drive
15021026,4421564,DELL,ST2000NX0463,W460PLM0,2.5 Hard Drive
15021026,4421565,DELL,ST2000NX0463,W460P561,2.5 Hard Drive
15021026,4421566,DELL,ST2000NX0463,W460PJ2L,2.5 Hard Drive
15021026,4421567,DELL,ST2000NX0463,W460PMS1,2.5 Hard Drive
15021026,4421568,DELL,ST2000NX0463,W460PLLN,2.5 Hard Drive
15021026,4421569,DELL,ST2000NX0463,W460PLMC,2.5 Hard Drive
15021026,4421570,DELL,ST2000NX0463,W4633N3T,2.5 Hard Drive
15021026,4421571,DELL,ST2000NX0463,W460PM2V,2.5 Hard Drive
15021026,4421572,DELL,ST2000NX0463,W460PPPW,2.5 Hard Drive
15021026,4421573,DELL,ST2000NX0463,W460P715,2.5 Hard Drive
15021026,4421574,DELL,ST2000NX0463,W460PQ6C,2.5 Hard Drive
15021026,4421575,DELL,ST2000NX0463,W460PQ6Q,2.5 Hard Drive
15021026,4421576,DELL,ST2000NX0463,W460PLMT,2.5 Hard Drive
15021026,4421577,DELL,AL15SEB24EQY,7140A2C0FQYF,2.5 Hard Drive
15021026,4421578,DELL,AL15SEB24EQY,Z1C0A0V9FQYF,2.5 Hard Drive
15021026,4421579,DELL,ST2000NX0463,W460MX7J,2.5 Hard Drive
15021026,4421580,DELL,ST2000NX0463,W460PJ5A,2.5 Hard Drive
15021026,4421581,DELL,ST2000NX0463,W460PM26,2.5 Hard Drive
15021026,4421582,DELL,ST2000NX0463,W460PQJ3,2.5 Hard Drive
15021026,4421583,DELL,ST2000NX0463,W460NSVN,2.5 Hard Drive
15021026,4421584,DELL,ST2000NX0463,W460PJBW,2.5 Hard Drive
15021026,4421585,DELL,ST2000NX0463,W460PQGX,2.5 Hard Drive
15021026,4421586,DELL,ST2000NX0463,W460P6QG,2.5 Hard Drive
15021026,4421587,DELL,ST2000NX0463,W460PPH8,2.5 Hard Drive
15021026,4421588,DELL,ST2000NX0463,W460PLPH,2.5 Hard Drive
15021026,4421589,DELL,ST2000NX0463,W460PJFW,2.5 Hard Drive
15021026,4421590,DELL,ST2000NX0463,W460PJ4T,2.5 Hard Drive
15021026,4421591,DELL,ST2000NX0463,W460PLNA,2.5 Hard Drive
15021026,4421592,DELL,ST2000NX0463,W460P29Q,2.5 Hard Drive
15021026,4421593,DELL,ST2000NX0463,W460PJ71,2.5 Hard Drive
15021026,4421594,DELL,ST2000NX0463,W460P938,2.5 Hard Drive
15021026,4421595,DELL,ST2000NX0463,W460PJFD,2.5 Hard Drive
15021026,4421596,DELL,ST2000NX0463,W460PMLJ,2.5 Hard Drive
15021026,4421597,DELL,ST2000NX0463,W460PQJ5,2.5 Hard Drive
15021026,4421598,DELL,ST2000NX0463,W460PHZE,2.5 Hard Drive
15021026,4421599,DELL,ST2000NX0463,W460PLQF,2.5 Hard Drive
15021026,4421600,DELL,ST2000NX0463,W460PJ0K,2.5 Hard Drive
15021026,4421601,DELL,ST2000NX0463,W460PPYE,2.5 Hard Drive
15021026,4421602,DELL,ST2000NX0463,W460PM0W,2.5 Hard Drive
15021026,4421603,SAMSUNG,MZ-ILT7T60,s4puny0n101778,2.5 Solid State Drive
15021026,4421604,INTEL,SSDSC2KG019T7R,j66337-005,2.5 Hard Drive
15021026,4421605,INTEL,SSDSC2KG019T7R,btym738603wh1p9dgn,2.5 Hard Drive
15021026,4421606,INTEL,SSDSC2KG019T7R,btym738606sv1p9dgn,2.5 Hard Drive
15021026,4421607,INTEL,SSDSC2KG019T7R,btym738602tf1p9dgn,2.5 Solid State Drive
15021026,4421608,INTEL,SSDSC2KG019T7R,btym7376015q1p9dgn,2.5 Solid State Drive
15021026,4421609,INTEL,SSDSC2KG019T7R,BTYM741205441P9DGN,2.5 Hard Drive
15021026,4421610,INTEL,SSDSC2KG019T7R,BTYM738603Q51P9DGN,2.5 Solid State Drive
15021026,4421611,INTEL,SSDSC2KG019T7R,BTYM73910ELT1P9DGN,2.5 Solid State Drive
15021026,4421612,DELL,MZ-7KM1T9B,S3BRNX0J606573,2.5 Solid State Drive
15021026,4421613,DELL,MZ-7KM1T9B,S3BRNX0J606278,2.5 Solid State Drive
15021026,4421614,DELL,MZ-7KM1T9B,S3BRNX0J606572,2.5 Solid State Drive
15021026,4421615,DELL,MZ-7KM1T9B,S3BRNX0J606144,2.5 Solid State Drive
15021026,4421616,DELL,MZ-7KM1T9B,S3BRNX0J606315,2.5 Solid State Drive
15021026,4421617,DELL,MZ-7KM1T9B,S3BRNX0J603421,2.5 Solid State Drive
15021026,4421618,DELL,MZ-7KM1T9B,S3BRNX0J606582,2.5 Solid State Drive
15021026,4421619,DELL,MZ-7KM1T9B,S3BRNX0J606578,2.5 Solid State Drive
15021026,4421620,DELL,MZ-7KM1T9B,S3BRNX0J603423,2.5 Solid State Drive
15021026,4421621,DELL,MZ-7KM1T9B,S3BRNX0J606571,2.5 Solid State Drive
15021026,4421622,DELL,MZ-7KM1T9B,S3BRNX0J606581,2.5 Solid State Drive
15021026,4421623,DELL,MZ-7KM1T9B,S3BRNX0J606750,2.5 Solid State Drive
15021026,4421624,DELL,MZ-7KM1T9B,S3BRNX0J606276,2.5 Solid State Drive
15021026,4421625,DELL,MZ-7KM1T9B,S3BRNX0J606142,2.5 Solid State Drive
15021026,4421626,DELL,MZ-7KM1T9B,S3BRNX0J606143,2.5 Solid State Drive
15021026,4421627,DELL,MZ-7KM1T9B,S3BRNX0J606575,2.5 Solid State Drive
15021026,4421628,DELL,MZ-7KM1T9B,S3BRNX0J603441,2.5 Solid State Drive
15021026,4421629,DELL,MZ-7KM1T9B,S3BRNX0J606563,2.5 Solid State Drive
15021026,4421630,DELL,MZ-7KM1T9B,S3BRNX0J606732,2.5 Solid State Drive
15021026,4421631,DELL,MZ-7KM1T9B,S3BRNX0J606736,2.5 Solid State Drive
15021026,4421632,DELL,MZ-7KM1T9B,S3BRNX0J606310,2.5 Solid State Drive
15021026,4421633,DELL,MZ-7KM1T9B,S3BRNX0J603418,2.5 Solid State Drive
15021026,4421634,IBM,PX05SRB384,77v0a01vtqme,2.5 Solid State Drive
15021026,4421635,LENOVO,SSDSC2KB480G7L,BTYS83250AR384BGN,2.5 Solid State Drive
15021026,4421636,LENOVO,SSDSC2KB480G7L,BTYS83220B6Y480BGN,2.5 Solid State Drive
15021026,4421637,SEAGATE,ST8000NM0075,ZA1H6CB0,3.5 Hard Drive
15021026,4421638,HP,DF0146B8052,3QN41ASM,3.5 Hard Drive
15021026,4421639,HP,DF0146B8052,3QN42BAE,3.5 Hard Drive
15021026,4421640,HP,DF0146B8052,3QN31CBA,3.5 Hard Drive
15021026,4421641,HP,DF0146B8052,3QN42C6X,3.5 Hard Drive
15021026,4421642,HP,DF0146B8052,3QN41B2S,3.5 Hard Drive
15021026,4421643,HP,HUH721212AL4200,5pj5btae,3.5 Hard Drive
15021026,4421644,HP,HUH721212AL4200,7SHZ78HW,3.5 Hard Drive
15021026,4421645,HP,HUH721212AL4200,7SJ38ZPW,3.5 Hard Drive
15021026,4421646,SEAGATE,ST12000NM006J,ZRT0D4HE,3.5 Hard Drive
15021026,4421647,SEAGATE,ST12000NM006J,ZRT0BEGH,3.5 Hard Drive
15021026,4421648,SEAGATE,ST14000NM0048,ZHZ3N84Q,3.5 Hard Drive
15021026,4421649,SEAGATE,ST14000NM0048,ZHZ2LRFM,3.5 Hard Drive
15021026,4421650,SEAGATE,ST14000NM0048,ZHZ3N411,3.5 Hard Drive
15021026,4421651,SEAGATE,ST14000NM0048,ZHZ6Y8W6,3.5 Hard Drive
15021026,4421652,SEAGATE,ST14000NM0048,ZHZ31T3L,3.5 Hard Drive
15021026,4421653,SEAGATE,ST14000NM0048,ZHZ3J2PC,3.5 Hard Drive
15021026,4421654,SEAGATE,ST14000NM0048,ZHZ3DCQ4,3.5 Hard Drive
15021026,4421655,SEAGATE,ST14000NM0048,ZHZ3N40L,3.5 Hard Drive
15021026,4421656,SEAGATE,ST14000NM0048,ZHZ3KDEG,3.5 Hard Drive
15021026,4421657,SEAGATE,ST3160815AS,9RXF0X46,3.5 Hard Drive
15021026,4421658,SEAGATE,ST3160815AS,9RXF0Z7G,3.5 Hard Drive
15021026,4421659,SEAGATE,ST3160815AS,9RXEWCC7,3.5 Hard Drive
15021026,4421660,SEAGATE,ST3160815AS,9RXF0WPL,3.5 Hard Drive
15021026,4421661,SEAGATE,ST3160815AS,9RXF0X57,3.5 Hard Drive
15021026,4421662,SEAGATE,ST3160815AS,9RXF0X9V,3.5 Hard Drive
15021026,4421663,SEAGATE,ST3160815AS,9RXF0X4A,3.5 Hard Drive
15021026,4421664,SEAGATE,ST3160815AS,9RXF0WW3,3.5 Hard Drive
